,Historical_Prices_Csv/usdollar_investing.csv,Historical_Prices_Csv/spdr-gold-trust_investing.csv,Historical_Prices_Csv/ishares-global-corporate-bond-$_investing.csv,Historical_Prices_Csv/db-x-trackers-ii-global-sovereign-5_investing.csv,Historical_Prices_Csv/amundi-msci-wrld-ae-c.csv,RETURN,VOLAT
0,1.0,0.0,0.0,0.0,0.0,-6.691565515094929,3.273306278179767
1,0.8,0.2,0.0,0.0,0.0,1.6260316141338027,1.5501135169120461
2,0.6,0.4,0.0,0.0,0.0,8.572616840244702,3.2005668702560337
3,0.4,0.6,0.0,0.0,0.0,14.461361125786492,5.037489108142081
4,0.2,0.8,0.0,0.0,0.0,19.516803284785574,6.598223330688431
5,0.0,1.0,0.0,0.0,0.0,23.90413337964573,7.911983980876407
6,0.8,0.0,0.2,0.0,0.0,-4.914280779030121,2.5509810001879707
7,0.6,0.2,0.2,0.0,0.0,3.544155081261005,1.7649024528037571
8,0.4,0.4,0.2,0.0,0.0,10.561387167269746,3.8156521770285203
9,0.2,0.6,0.2,0.0,0.0,16.47684130599849,5.680006650982055
10,0.0,0.8,0.2,0.0,0.0,21.531115124429906,7.227269501210295
11,0.6,0.0,0.4,0.0,0.0,-2.986519028649873,1.8722713757862361
12,0.4,0.2,0.4,0.0,0.0,5.608977616946879,2.293776126926562
13,0.2,0.4,0.4,0.0,0.0,12.68884975437947,4.512579907932085
14,0.0,0.6,0.4,0.0,0.0,18.621488560671903,6.372088811996046
15,0.4,0.0,0.6,0.0,0.0,-0.8883248730964469,1.4137102400671702
16,0.2,0.2,0.6,0.0,0.0,7.837997801640342,3.017149070042295
17,0.0,0.4,0.6,0.0,0.0,14.970036877689022,5.280000270289475
18,0.2,0.0,0.8,0.0,0.0,1.4039487595584201,1.5311607611130973
19,0.0,0.2,0.8,0.0,0.0,10.251612477161169,3.866568845006663
20,0.0,0.0,1.0,0.0,0.0,3.9185357050786367,2.23272651310602
21,0.8,0.0,0.0,0.2,0.0,-3.950911026235063,2.4391120146301373
22,0.6,0.2,0.0,0.2,0.0,2.275641025641022,1.4370254647453176
23,0.4,0.4,0.0,0.2,0.0,7.69524224753394,2.730397938892829
24,0.2,0.6,0.0,0.2,0.0,12.455215477530958,4.228852596060566
25,0.0,0.8,0.0,0.2,0.0,16.669078979109383,5.563225686225268
26,0.6,0.0,0.2,0.2,0.0,-2.5401996677580163,1.9285137405473118
27,0.4,0.2,0.2,0.2,0.0,3.7612906125016567,1.6190996625266967
28,0.2,0.4,0.2,0.2,0.0,9.22463818779276,3.1945786802011313
29,0.0,0.6,0.2,0.2,0.0,14.006634238439258,4.725686806809471
30,0.4,0.0,0.4,0.2,0.0,-1.0412161937394044,1.4923647415664543
31,0.2,0.2,0.4,0.2,0.0,5.333086716606566,2.00169836043869
32,0.0,0.4,0.4,0.2,0.0,10.836660252175669,3.7170022753351724
33,0.2,0.0,0.6,0.2,0.0,0.5545921258220161,1.2635027929598786
34,0.0,0.2,0.6,0.2,0.0,6.998745972030424,2.516766282993416
35,0.0,0.0,0.8,0.2,0.0,2.256919801277512,1.4036796939181277
36,0.6,0.0,0.0,0.4,0.0,-2.2909780955851953,2.0115929245795594
37,0.4,0.2,0.0,0.4,0.0,2.6835370987441935,1.418766092263971
38,0.2,0.4,0.0,0.4,0.0,7.126901274064084,2.4514150655359
39,0.0,0.6,0.0,0.4,0.0,11.119872976630685,3.698855435469965
40,0.4,0.0,0.2,0.4,0.0,-1.124954950316647,1.6493576054835435
41,0.2,0.2,0.2,0.4,0.0,3.8957888608577393,1.5732056746632528
42,0.0,0.4,0.2,0.4,0.0,8.368882161368745,2.8185929513931045
43,0.2,0.0,0.4,0.4,0.0,0.09893023439868703,1.3745052480989715
44,0.0,0.2,0.4,0.4,0.0,5.164645574490797,1.8645536400209612
45,0.0,0.0,0.6,0.4,0.0,1.38509400784526,1.2713789683446635
46,0.4,0.0,0.0,0.6,0.0,-1.177804371102853,1.7790786471148494
47,0.2,0.2,0.0,0.6,0.0,2.9634665760163155,1.4310343201900366
48,0.0,0.4,0.0,0.6,0.0,6.728768587626712,2.27365341029862
49,0.2,0.0,0.2,0.6,0.0,-0.18526252663818316,1.5227493751105097
50,0.0,0.2,0.2,0.6,0.0,3.987283083852177,1.563571669758429
51,0.0,0.0,0.4,0.6,0.0,0.8480874316940005,1.3514735415516237
52,0.2,0.0,0.0,0.8,0.0,-0.3794467828140408,1.6497506099928332
53,0.0,0.2,0.0,0.8,0.0,3.167483384756317,1.4523758257061539
54,0.0,0.0,0.2,0.8,0.0,0.48409278445034526,1.4684486326836017
55,0.0,0.0,0.0,1.0,0.0,0.22109917877447974,1.577834375233001
56,0.8,0.0,0.0,0.0,0.2,-2.7251572869085754,2.169268214419353
57,0.6,0.2,0.0,0.0,0.2,3.990696340666861,2.3702804261633985
58,0.4,0.4,0.0,0.0,0.2,9.760540228353115,3.9916577347601336
59,0.2,0.6,0.0,0.0,0.2,14.771108006031858,5.54440097321556
60,0.0,0.8,0.0,0.0,0.2,19.16302132686043,6.890149927226291
61,0.6,0.0,0.2,0.0,0.2,-1.1258773648769107,2.1544190936380923
62,0.4,0.2,0.2,0.0,0.2,5.672524224010488,2.9643183924168817
63,0.2,0.4,0.2,0.0,0.2,11.485848338055616,4.63867021003629
64,0.0,0.6,0.2,0.0,0.2,16.513735405244173,6.172001230536857
65,0.4,0.0,0.4,0.0,0.2,0.5842994857427242,2.4132968107363704
66,0.2,0.2,0.4,0.0,0.2,7.4615736582555305,3.64109865715984
67,0.0,0.4,0.4,0.0,0.2,13.312945973496438,5.327798842287764
68,0.2,0.0,0.6,0.0,0.2,2.417322233254421,2.911220614068937
69,0.0,0.2,0.6,0.0,0.2,9.368435793306267,4.3841182113081
70,0.0,0.0,0.8,0.0,0.2,4.386920441266767,3.5857894801438577
71,0.6,0.0,0.0,0.2,0.2,-1.193965049386749,1.5840128912652418
72,0.4,0.2,0.0,0.2,0.2,4.086158552128459,1.945766624184818
73,0.2,0.4,0.0,0.2,0.2,8.762737935012499,3.3344724287147085
74,0.0,0.6,0.0,0.2,0.2,12.933660710225963,4.67496561190114
75,0.4,0.0,0.2,0.2,0.2,0.09606950419780348,1.5956348414314698
76,0.2,0.2,0.2,0.2,0.2,5.42576946682511,2.417920633588616
77,0.0,0.4,0.2,0.2,0.2,10.132169422757729,3.8457659051022053
78,0.2,0.0,0.4,0.2,0.2,1.455491693117155,1.8231156887933042
79,0.0,0.2,0.4,0.2,0.2,6.83284693030603,2.9460636321457883
80,0.0,0.0,0.6,0.2,0.2,2.890054509924918,2.223047130656979
81,0.4,0.0,0.0,0.4,0.2,-0.20023939234617502,1.2941514504812255
82,0.2,0.2,0.0,0.4,0.2,4.1498050961773325,1.7188177015913704
83,0.0,0.4,0.0,0.4,0.2,8.081492341135428,2.9111462993283346
84,0.2,0.0,0.2,0.4,0.2,0.8798793308346075,1.3297327273358803
85,0.0,0.2,0.2,0.4,0.2,5.262929726449034,2.104461645228233
86,0.0,0.0,0.4,0.4,0.2,2.0074505728065533,1.5339009348987453
87,0.2,0.0,0.0,0.6,0.2,0.49675491520908016,1.1623262968758774
88,0.0,0.2,0.0,0.6,0.2,4.195269396747942,1.59575551979202
89,0.0,0.0,0.2,0.6,0.2,1.4253737851377446,1.2139267745421247
90,0.0,0.0,0.0,0.8,0.2,1.0126603240844114,1.1155377803105138
91,0.6,0.0,0.0,0.0,0.4,0.09287241099725535,3.7725157593745977
92,0.4,0.2,0.0,0.0,0.4,5.715584576600405,4.219417072749352
93,0.2,0.4,0.0,0.0,0.4,10.646825345520833,5.264600941386563
94,0.0,0.6,0.0,0.0,0.4,15.00675980171248,6.392899760909304
95,0.4,0.0,0.2,0.0,0.4,1.5344027655638783,4.123366274763239
96,0.2,0.2,0.2,0.0,0.4,7.209729882619146,4.762227507959295
97,0.0,0.4,0.2,0.0,0.4,12.169718813770436,5.848332827808169
98,0.2,0.0,0.4,0.0,0.4,3.0605715355922123,4.577927520225031
99,0.0,0.2,0.4,0.0,0.4,8.785540978366672,5.359038970255906
100,0.0,0.0,0.6,0.0,0.4,4.6790583997941795,5.125135982412791
101,0.4,0.0,0.0,0.2,0.4,0.9147071500407017,2.9305224951269215
102,0.2,0.2,0.0,0.2,0.4,5.493883099229717,3.436766817755
103,0.0,0.4,0.0,0.2,0.4,9.604884130874078,4.401588261910947
104,0.2,0.0,0.2,0.2,0.4,2.09815905833933,3.214906663279916
105,0.0,0.2,0.2,0.2,0.4,6.711883239389352,3.8753081268224805
106,0.0,0.0,0.4,0.2,0.4,3.3374288508312304,3.5771233602016306
107,0.2,0.0,0.0,0.4,0.4,1.4766210073276431,2.4045347632543224
108,0.0,0.2,0.0,0.4,0.4,5.33909145995441,2.924449469674061
109,0.0,0.0,0.2,0.4,0.4,2.480170961246031,2.6479923608015756
110,0.0,0.0,0.0,0.6,0.4,1.8850846808584802,2.0604550293300523
111,0.4,0.0,0.0,0.0,0.6,2.198184276608066,5.417681948506448
112,0.2,0.2,0.0,0.0,0.6,7.029401414859675,5.760488644913993
113,0.0,0.4,0.0,0.0,0.6,11.33341746303074,6.462489919071582
114,0.2,0.0,0.2,0.0,0.6,3.5051600812943833,5.830462676174844
115,0.0,0.2,0.2,0.0,0.6,8.372035266360369,6.260726313651216
116,0.0,0.0,0.4,0.0,0.6,4.878675923294499,6.302616766053822
117,0.2,0.0,0.0,0.2,0.6,2.579705176551268,4.367342060099773
118,0.0,0.2,0.0,0.2,0.6,6.619775739041795,4.77284992693775
119,0.0,0.0,0.2,0.2,0.6,3.670336638859429,4.698684157112229
120,0.0,0.0,0.0,0.4,0.6,2.8514303009180657,3.6578745020715253
121,0.2,0.0,0.0,0.0,0.8,3.8308088025150027,6.784477510322466
122,0.0,0.2,0.0,0.0,0.8,8.063449382528647,7.018555688914418
123,0.0,0.0,0.2,0.0,0.8,5.023716615650626,7.203565364394268
124,0.0,0.0,0.0,0.2,0.8,3.9277267263774105,5.606044882194294
125,0.0,0.0,0.0,0.0,1.0,5.133871216403725,7.909929727394899
